"","1_L25_C01_IL4625","1_L25_C04_IL4625","1_L25_C06_IL4625","1_L25_C08_IL4625","1_L25_C10_IL4625","1_L25_C17_IL4625","1_L25_C19_IL4625","1_L25_C20_IL4625","1_L25_C23_IL4625","1_L25_C26_IL4625","1_L25_C31_IL4625","1_L25_C34_IL4625","1_L25_C36_IL4625","1_L25_C39_IL4625","1_L25_C42_IL4625","1_L25_C45_IL4625","1_L25_C47_IL4625","1_L25_C50_IL4625","1_L25_C51_IL4625","1_L25_C54_IL4625","1_L25_C56_IL4625","1_L25_C62_IL4625","1_L25_C64_IL4625","1_L25_C67_IL4625","1_L25_C68_IL4625","1_L25_C69_IL4625","1_L25_C70_IL4625","1_L25_C72_IL4625","1_L25_C73_IL4625","1_L25_C76_IL4625","1_L25_C78_IL4625","1_L25_C79_IL4625","1_L25_C80_IL4625","1_L25_C82_IL4625","1_L25_C83_IL4625","1_L25_C85_IL4625","1_L25_C88_IL4625","1_L25_C89_IL4625","1_L25_C93_IL4625","1_L25_C94_IL4625","1_L25_C95_IL4625","1_L25_C96_IL4625"
"Tmem109",41.5232,0,22.1076,11.0468,0.505493,299.415,0,47.5403,0,327.76,1.17556,15.6824,0,20.4648,0,144.737,0.964351,0,0,52.2965,131.513,0.181554,0,0,0.164535,0,0,8.88728,0,0,0,0.146001,0,0,139.793,0,0,0.138533,104.847,0,4.69644,3.55906
"Tmem11",0,0,0.491138,0,0,2.18315,0,0.86608,0,71.8783,0,0,163.331,0,198.019,0,0,2.86124,1.05029,180.085,0,0,0,0,0,0,0,106.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem110",0,0,6.11734,0,0,0,0,0,0,71.8783,0,3.20611,0,26.6152,1.9688,0,0,0,0,0,0,0.0888946,0,0,0,0,0,0,0,0,0,0,0.0670028,0,0,0,0,0,0,0,0,0
"Tmem111",0,0,0,0,0,0,241.04,5.92331,22.8891,0,75.1502,0,22.8902,0.266615,36.4345,0.983122,0,0,7.17748,0.14509,0.19748,0.53571,0.960179,0.169346,40.6182,0,0,0,0,0,0,0,0,0,78.4826,0,0,0,0.172892,0,0.184765,1.27296
"Tmem115",0,0,0,0,0,0,0,0,0,0,0,57.9527,0,0,0,0,2.86906,0,0,0,0,0,0,0,0,0.812642,0,0,0,0,0,0,0,0,0.36083,0,0,0,0,0,0,0
"Tmem116",0,0,0,0.273079,0,0.210936,0,0,0,0,0,0,0,12.8432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.363,0,0,0,0.161921,0,0,0
"Tmem120a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1042,0,1.02607,0,0,0,51.2996,0,0,0,0,0,0,0,0,0,0,0
"Tmem120b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153651,0,0,0,0,0,0,0,0,0,0,0,0,5.27121,0,0,0,0,0,0,0,0,0
