,Adult_1_L28_C01_IL4898,Adult_1_L28_C02_IL4898,Adult_1_L28_C08_IL4898,Adult_1_L28_C10_IL4898,Adult_1_L28_C14_IL4898,Adult_1_L28_C15_IL4898,Adult_1_L28_C16_IL4898,Adult_1_L28_C17_IL4898,Adult_1_L28_C18_IL4898,Adult_1_L28_C19_IL4898,Adult_1_L28_C26_IL4898,Adult_1_L28_C31_IL4898,Adult_1_L28_C38_IL4898,Adult_1_L28_C39_IL4898,Adult_1_L28_C40_IL4898,Adult_1_L28_C45_IL4898,Adult_1_L28_C53_IL4898,Adult_1_L28_C56_IL4898,Adult_1_L28_C57_IL4898,Adult_1_L28_C58_IL4898,Adult_1_L28_C59_IL4898,Adult_1_L28_C60_IL4898,Adult_1_L28_C61_IL4898,Adult_1_L28_C62_IL4898,Adult_1_L28_C63_IL4898,Adult_1_L28_C64_IL4898,Adult_1_L28_C66_IL4898,Adult_1_L28_C68_IL4898,Adult_1_L28_C69_IL4898,Adult_1_L28_C72_IL4898,Adult_1_L28_C73_IL4898,Adult_1_L28_C74_IL4898,Adult_1_L28_C80_IL4898,Adult_1_L28_C81_IL4898,Adult_1_L28_C82_IL4898,Adult_1_L28_C87_IL4898,Adult_1_L28_C88_IL4898,Adult_1_L28_C95_IL4898,Adult_1D_L28_C33_IL4898,Adult_1p_L28_C21_IL4898,Adult_1p_L28_C51_IL4898,Adult_1pp_L28_C25_IL4898,Adult_1pp_L28_C34_IL4898,Adult_1pp_L28_C65_IL4898,Adult_1pp_L28_C67_IL4898,Adult_1pp_L28_C75_IL4898,Adult_1pp_L28_C79_IL4898
Zfp414,0,0,0,2.276651498,0,0,0,0,4.345204741,2.414882401,6.075998907,0,0,0,4.119737968,0,0,1.8425002,0,0,0,0,6.909545115,1.220825216,0,0,0,0,5.733668879,0,0,2.11005917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382899614,0
Zfp418,0,0,0,0,0,0,0,0,0,0,0,0,0,5.281420069,2.028141231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28222331,0,0,0,0,0
Zfp420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp422,0,0,0.643893122,5.624191572,0,0,0,5.668740353,0,1.042882432,0,0,0.268865521,0,0,0,0,0,2.089372723,0,0,0,1.110443428,0,0,0,0,0,0,0,0,0,0,5.479227327,1.033821174,0,0,0,0,4.241596155,0,0,0,0,0,0,0
Zfp423,0,0,0,1.004882465,0,0,0,1.379127412,0,5.933268111,0,1.733046244,0,1.670550318,0,0,0,0,0,0,0,0,0,0,0.234035266,0,0,0,2.712551762,0,0,0,0,0,0,0,0,0,2.520012327,0,0,0,0,0,0,0,0
Zfp426,1.416531718,0,0,0,0,0,0,0,0,0.408961798,0,0,0,0,0,2.066268332,0,0,0,0,0,0,3.83215076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.590022286,0,0,2.015907854,0,0,0,0
Zfp429,0,0,0,0,0,0.474918808,0,0,0,0,5.244202073,0,0,0,0,0.569199413,0,0,0,0,0,0,0,0,0,0,0,0,0.944213773,0,0,0,3.172633122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp433,0,0,0,0,0,0,0,0,0,0,1.686684284,2.677902829,0,1.20347056,0,0,1.961204719,0,0,0,0,1.051121479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.453975798,0,2.999410178,0,0,0,0
Zfp438,0,0,0,0,0,0,0,0,1.671542482,0,0.032044404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.235013193,0,0,0,0,0,0,5.318573539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp442,0,0,0,0,0,0,0,0,0,0,0,0,5.373484655,0,0,0,2.811257282,0,0,0,0,0,0.356763585,4.332536089,0,0,0,0,0,0,1.993319305,3.627081489,0,7.38925704,0,4.733441117,0,0,0,0,0,0,0,0,0,0,0
Zfp444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.403540418,0,0,0,0,0,0,0,1.938617018,0,0,0,0,0,0
Zfp445,0,0,4.83334553,0,0,0,0,0,2.781422666,0,0,0,0,0,3.689008355,0,4.476290949,4.735251376,0,0,0,0,2.362708331,6.086461093,0,0,0,0,4.423228547,0,0,0.705376377,0,3.707568963,6.600400599,0,1.552377071,0,0,0,0,5.129489102,2.172026599,0,3.512858954,0,4.942702161
Zfp446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp449,0,3.71228762,0,0,0,0,0,0,0.43620449,2.271852923,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106591205,0,0,2.633989115,0,0,0,0,0,0,1.302751868,0,0,0.279506954,0,0,0,0,0,0,0,0,0,0
Zfp451,0,0,0,0.870952529,0,0,0,1.69321261,0,0,0,6.311820959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243254734,0,0,1.393910378,0,0,0.112700133,4.471324048,0,0,0,0,0,0,0,0,0,0,0
