"","AT2_1_C01_IL3542","AT2_1_C02_IL3541","AT2_1_C05_IL3548","AT2_1_C06_IL3544","AT2_1_C07_IL3542","AT2_1_C08_IL3541","AT2_1_C09_IL3541","AT2_1_C10_IL3548","AT2_1_C11_IL3548","AT2_1_C12_IL3544","AT2_1_C13_IL3542","AT2_1_C16_IL3545","AT2_1_C17_IL3545","AT2_1_C19_IL3542","AT2_1_C20_IL3548","AT2_1_C31_IL3541","AT2_1_C32_IL3542","AT2_1_C34_IL3545","AT2_1_C38_IL3542","AT2_1_C40_IL3545","AT2_1_C41_IL3545","AT2_1_C43_IL3541","AT2_1_C50_IL3543","AT2_1_C51_IL3544","AT2_1_C53_IL3549","AT2_1_C54_IL3547","AT2_1_C56_IL3543","AT2_1_C59_IL3546","AT2_1_C62_IL3543","AT2_1_C63_IL3544","AT2_1_C65_IL3546","AT2_1_C66_IL3547","AT2_1_C67_IL3543","AT2_1_C68_IL3544","AT2_1_C70_IL3546","AT2_1_C72_IL3547","AT2_1_C76_IL3547","AT2_1_C78_IL3546","AT2_1_C80_IL3544","AT2_1_C83_IL3547","AT2_1_C89_IL3547","AT2_1_C92_IL3544","AT2_1_C93_IL3543","AT2_1_C94_IL3547","AT2_1_C96_IL3546"
"1110019D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110020A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6986602220508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110020G09Rik",0,0,0,0,0,4.80169672032129,0,0,4.4156978319595,0,3.96823824048466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110021J02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45817855301048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110021L09Rik",0,4.31252722812623,0,0,0,0,0,0,0,0,0,5.38571747691012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32417694550338,0,0,0,0,0,0
"1110028C15Rik",0,0,0,2.50258265666252,0,0,0,0,0,0,0,0,1.64808803802689,2.10262118177428,0,0,0,0,0,0,0,0,0,0,0,0,3.26754478679488,0,0,0,0,0,0,0,3.55674820785854,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9720768501913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110031I02Rik",0,0,4.81685054369485,0,0,0,0,0,0,0,0,0,5.32398247192438,3.5955275301769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13729858092114,0,0,0,0,0
"1110032A03Rik",0,0,0,0,0,0,0,0,0,0,0,5.85936084495586,0,0,0,4.97576315166417,0,0,0,0,0,0,0,0,0,0,0,7.9553941806081,3.92035047325412,0,0,3.87152827086222,0,0,0,0,0,4.10837390683203,0,0,0,0,2.84989320447628,0,0
"1110032A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110034A24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110034B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20836118309842,0,0,0,0,0,0,0,3.40510741683395,0,0,0,2.94351817804891,0,0,0,0,0
"1110034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19644377175581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110035M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110037F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9147711546698,0,0,0,0,0,0,0,0,0,1.41339911044579
"1110038B12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82766153874639,0,0,0,0,7.31123970657593,0,0,0,0,7.45912829290869,0,0,0,8.46332409858606,0,0,0,0,0,0,0,5.79302448959338,0,0,0,0,4.27886942810769,0,0
"1110038D17Rik",0,0,0,0,5.90600547118419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66434857700783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110038F14Rik",0,4.06162932893939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45939227187236,0,0,0,0,0,0,0,3.82106728687826,0,0,0,0,0,0,0,0,0
"1110046J04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110049F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
